,Year,Type,Country,Sex ,Age,Fatal (Y/N),Month,Day,date_clean,Age_clean,Species_clean_2,Time_clean,Activity_clean_1,Activity_clean_2
3630,1965,Unprovoked,usa,M,28,N,04,10,1965-04-10,28.0,white shark,P.M.,spearfishing,spearfishing
3631,1965,Unprovoked,palau,M,8,N,04,04,1965-04-04,,tiger shark,,walking,Other
3632,1965,Unprovoked,usa,M,17,N,04,04,1965-04-04,17.0,other/NA,P.M.,paddling,Other
3633,1965,Invalid,usa,M,,UNKNOWN,03,23,1965-03-23,,other/NA,,,Other
3634,1965,Unprovoked,usa,M,16,N,03,14,1965-03-14,16.0,other/NA,A.M.,free diving,free diving
3635,1965,Unprovoked,south africa,M,25,N,02,14,1965-02-14,25.0,other/NA,P.M.,treading,Other
3636,1965,Unprovoked,usa,M,18,N,02,04,1965-02-04,18.0,other/NA,,scuba diving,scuba diving
3637,1965,Invalid,usa,M,21,UNKNOWN,01,25,1965-01-25,21.0,other/NA,,,Other
3638,1965,Unprovoked,south africa,M,22,N,01,23,1965-01-23,22.0,white shark,A.M.,paddling,Other
3639,1965,Unprovoked,south africa,M,20,N,01,16,1965-01-16,20.0,other/NA,P.M.,body surfing,body surfing
3640,1965,Unprovoked,australia,M,,N,01,10,1965-01-10,,other/NA,,swimming,swimming
3641,1965,Unprovoked,new guinea,M,30,Y,01,09,1965-01-09,30.0,other/NA,,free diving,free diving
3649,1964,Unprovoked,south africa,M,19,N,12,25,1964-12-25,19.0,other/NA,,swimming,swimming
3650,1964,Unprovoked,papua new guinea,M,,N,12,10,1964-12-10,,other/NA,,,Other
3651,1964,Boat,australia,,,N,12,10,1964-12-10,,other/NA,,fishing,fishing
3652,1964,Unprovoked,papua new guinea,M,28,N,12,09,1964-12-09,28.0,other/NA,P.M.,swimming,swimming
3653,1964,Unprovoked,kenya,M,10,Y,12,06,1964-12-06,10.0,other/NA,P.M.,fishing,fishing
3654,1964,Unprovoked,australia,M,25,N,11,29,1964-11-29,25.0,white shark,,free diving,free diving
3655,1964,Unprovoked,australia,M,29,Y,11,18,1964-11-18,29.0,other/NA,A.M.,swimming,swimming
3656,1964,Provoked,australia,M,25,N,11,13,1964-11-13,25.0,white shark,,filming,Other
3657,1964,Boat,usa,,,N,11,05,1964-11-05,,other/NA,,longline fishing,Other
3658,1964,Provoked,south africa,M,,N,10,31,1964-10-31,,other/NA,,surf fishing,Other
3659,1964,Invalid,usa,,,UNKNOWN,10,25,1964-10-25,,other/NA,A.M.,,Other
3660,1964,Unprovoked,australia,M,19,N,10,04,1964-10-04,19.0,other/NA,,surfing,surfing
3661,1964,Invalid,,M,24,UNKNOWN,09,27,1964-09-27,24.0,other/NA,A.M.,spearfishing,spearfishing
3662,1964,Unprovoked,taiwan,M,32,Y,09,20,1964-09-20,32.0,other/NA,P.M.,swimming,swimming
3663,1964,Unprovoked,taiwan,M,20,N,09,07,1964-09-07,20.0,other/NA,P.M.,swimming,swimming
3664,1964,Unprovoked,usa,M,14,N,08,26,1964-08-26,14.0,other/NA,P.M.,swimming,swimming
3665,1964,Unprovoked,mexico,M,19,N,08,23,1964-08-23,19.0,other/NA,,floating,Other
3666,1964,Invalid,usa,M,18,UNKNOWN,08,22,1964-08-22,18.0,other/NA,,spearfishing,spearfishing
3667,1964,Unprovoked,usa,M,,N,08,21,1964-08-21,,other/NA,,swimming,swimming
3668,1964,Unprovoked,usa,M,28,N,08,08,1964-08-08,28.0,other/NA,,spearfishing using,Other
3669,1964,Unprovoked,japan,M,12,N,08,03,1964-08-03,12.0,other/NA,P.M.,swimming,swimming
